date,item,quantity,unit_price,revenue,time
2024-01-01,Single-Origin Pour Over,20,5.44,108.78,08:00:00
2024-01-01,Oat Milk Latte,14,6.08,85.15,08:00:36
2024-01-01,Honey Lavender Latte,10,6.28,62.83,08:01:12
2024-01-01,Turmeric Ginger Latte,10,6.29,62.87,08:01:49
2024-01-01,Cold Brew Concentrate,11,5.92,65.14,08:02:25
2024-01-01,Nitro Cold Brew,9,6.18,55.63,08:03:02
2024-01-01,Matcha Espresso Fusion,16,6.52,104.25,08:03:38
2024-01-01,Blue Pea Flower Tea,20,4.61,92.27,08:04:14
2024-01-01,Sourdough Toast,9,5.93,53.41,08:04:51
2024-01-01,Almond Butter Croissant,4,5.45,21.8,08:05:27
2024-01-01,Vegan Morning Bun,6,5.85,35.12,08:06:04
2024-01-02,Single-Origin Pour Over,10,5.76,57.57,08:06:40
2024-01-02,Oat Milk Latte,6,6.0,36.01,08:07:16
2024-01-02,Honey Lavender Latte,8,6.86,54.87,08:07:53
2024-01-02,Turmeric Ginger Latte,8,6.42,51.4,08:08:29
2024-01-02,Cold Brew Concentrate,10,5.86,58.63,08:09:06
2024-01-02,Nitro Cold Brew,5,6.26,31.32,08:09:42
2024-01-02,Matcha Espresso Fusion,8,6.8,54.44,08:10:18
2024-01-02,Blue Pea Flower Tea,7,4.55,31.83,08:10:55
2024-01-02,Sourdough Toast,6,6.31,37.86,08:11:31
2024-01-02,Almond Butter Croissant,3,5.18,15.54,08:12:08
2024-01-02,Vegan Morning Bun,15,5.8,86.93,08:12:44
2024-01-03,Single-Origin Pour Over,9,5.58,50.26,08:13:20
2024-01-03,Oat Milk Latte,9,5.81,52.26,08:13:57
2024-01-03,Honey Lavender Latte,1,6.71,6.71,08:14:33
2024-01-03,Turmeric Ginger Latte,10,6.49,64.85,08:15:10
2024-01-03,Cold Brew Concentrate,17,5.74,97.63,08:15:46
2024-01-03,Nitro Cold Brew,17,6.43,109.38,08:16:22
2024-01-03,Matcha Espresso Fusion,16,6.71,107.39,08:16:59
2024-01-03,Blue Pea Flower Tea,2,4.54,9.08,08:17:35
2024-01-03,Sourdough Toast,17,6.22,105.75,08:18:12
2024-01-03,Almond Butter Croissant,18,5.31,95.56,08:18:48
2024-01-03,Vegan Morning Bun,8,5.55,44.38,08:19:24
2024-01-04,Single-Origin Pour Over,12,5.38,64.55,08:20:01
2024-01-04,Oat Milk Latte,12,5.87,70.46,08:20:37
2024-01-04,Honey Lavender Latte,6,6.87,41.21,08:21:14
2024-01-04,Turmeric Ginger Latte,14,6.46,90.44,08:21:50
2024-01-04,Cold Brew Concentrate,21,5.67,119.1,08:22:26
2024-01-04,Nitro Cold Brew,11,6.55,72.02,08:23:03
2024-01-04,Matcha Espresso Fusion,20,6.98,139.68,08:23:39
2024-01-04,Blue Pea Flower Tea,15,4.66,69.93,08:24:16
2024-01-04,Sourdough Toast,13,5.99,77.84,08:24:52
2024-01-04,Almond Butter Croissant,5,5.12,25.62,08:25:28
